Date,Close_YAHOO_INDEX_AEX,Close_YAHOO_INDEX_AORD,Close_YAHOO_INDEX_ATX,Close_YAHOO_INDEX_AXJO,Close_YAHOO_INDEX_BFX,Close_YAHOO_INDEX_BTK,Close_YAHOO_INDEX_DRG,Close_YAHOO_INDEX_EPX,Close_YAHOO_INDEX_FCHI,Close_YAHOO_INDEX_FVX,Close_YAHOO_INDEX_GDAXI,Close_YAHOO_INDEX_GD_AT,Close_YAHOO_INDEX_GSPC,Close_YAHOO_INDEX_GSPTSE,Close_YAHOO_INDEX_HCX,Close_YAHOO_INDEX_HGX,Close_YAHOO_INDEX_HSI,Close_YAHOO_INDEX_HUI,Close_YAHOO_INDEX_IBEX,Close_YAHOO_INDEX_IEQR_IR,Close_YAHOO_INDEX_IRX,Close_YAHOO_INDEX_ISEQ,Close_YAHOO_INDEX_JPN,Close_YAHOO_INDEX_MID,Close_YAHOO_INDEX_MXX,Close_YAHOO_INDEX_MXY,Close_YAHOO_INDEX_NSEI,Close_YAHOO_INDEX_NWX,Close_YAHOO_INDEX_NY,Close_YAHOO_INDEX_NYA,Close_YAHOO_INDEX_NYI,Close_YAHOO_INDEX_NYL,Close_YAHOO_INDEX_NYY,Close_YAHOO_INDEX_OEX,Close_YAHOO_INDEX_OMX,Close_YAHOO_INDEX_OSX,Close_YAHOO_INDEX_RTS_RS,Close_YAHOO_INDEX_RUA,Close_YAHOO_INDEX_RUI,Close_YAHOO_INDEX_RUT,Close_YAHOO_INDEX_SML,Close_YAHOO_INDEX_SOX,Close_YAHOO_INDEX_SPY,Close_YAHOO_INDEX_SSMI,Close_YAHOO_INDEX_STI,Close_YAHOO_INDEX_STOXX50E,Close_YAHOO_INDEX_TNX,Close_YAHOO_INDEX_TYX,Close_YAHOO_INDEX_UTY,Close_YAHOO_INDEX_VDAX,Close_YAHOO_INDEX_VIX,Close_YAHOO_INDEX_XAL,Close_YAHOO_INDEX_XAU,Close_YAHOO_INDEX_XAX,Close_YAHOO_INDEX_XBD,Close_YAHOO_INDEX_XCI,Close_YAHOO_INDEX_XII,Close_YAHOO_INDEX_XMI,Close_YAHOO_INDEX_XNG,Close_YAHOO_INDEX_XOI
2008-01-01,509.769989,6434.100098,4509.240234,6353.200195,4114.459961,787.929993,336.700012,436.459991,5550.359863,3.271,7949.109863,5207.44,1447.160034,13926.799805,406.190002,139.229996,27560.519531,435.119995,15002.5,7757.82,3.17,6953.680176,162.779999,847.559998,28699.119141,260.549988,6144.350098,256.089996,6978.120117,9647.5,7417.97998,7287.47998,6994.310059,675.950012,1058.37,308.299988,2296.56,837.169983,788.619995,753.549988,390.410004,396.730011,144.929993,8318.799805,3461.219971,4339.23,3.901,4.352,560.320007,18.85,23.17,32.630001,184.330002,2405.030029,202.089996,937.289978,696.419983,1346.069946,580.799988,1562.140015
2008-01-02,509.769989,6434.100098,4509.240234,6353.200195,4114.459961,787.929993,336.700012,436.459991,5550.359863,3.271,7949.109863,5207.44,1447.160034,13926.799805,406.190002,139.229996,27560.519531,435.119995,15002.5,7757.82,3.17,6953.680176,162.779999,847.559998,28699.119141,260.549988,6179.399902,256.089996,6978.120117,9647.5,7417.97998,7287.47998,6994.310059,675.950012,1058.37,308.299988,2296.56,837.169983,788.619995,753.549988,390.410004,396.730011,144.929993,8318.799805,3461.219971,4339.23,3.901,4.352,560.320007,18.85,23.17,32.630001,184.330002,2405.030029,202.089996,937.289978,696.419983,1346.069946,580.799988,1562.140015
2008-01-03,508.670013,6372.600098,4466.470215,6290.700195,4117.490234,779.349976,338.029999,440.609985,5546.080078,3.264,7908.410156,5133.33,1447.160034,13978.200195,408.700012,135.850006,26887.279297,449.309998,14856.5,7844.25,3.15,6981.759766,162.779999,841.580017,28860.779297,260.459991,6178.549805,255.550003,6989.140137,9656.0,7450.390137,7308.370117,6986.52002,676.119995,1050.61,312.200012,2296.56,835.859985,788.049988,745.01001,386.179993,391.290009,144.860001,8318.799805,3397.060059,4333.42,3.901,4.369,562.570007,19.280001,22.49,31.93,190.350006,2419.040039,200.330002,936.22998,697.869995,1347.77002,585.809998,1565.939941
2008-01-04,500.600006,6385.399902,4358.850098,6306.799805,4094.379883,773.609985,334.329987,427.640015,5446.790039,3.169,7808.689941,5112.22,1411.630005,13778.599609,404.160004,128.380005,27519.689453,443.75,14602.299805,7865.24,3.115,6977.129883,156.149994,817.51001,28317.919922,252.360001,6274.299805,247.070007,6851.509766,9432.030273,7270.25,7149.299805,6805.439941,660.72998,1014.63,302.690002,2296.56,814.440002,768.25,721.599976,373.670013,372.850006,141.309998,8130.0,3437.790039,4270.53,3.854,4.359,565.97998,19.98,23.940001,31.4,186.229996,2382.459961,192.539993,893.030029,680.830017,1324.75,571.820007,1525.449951
2008-01-07,500.630005,6240.399902,4332.350098,6161.600098,4097.279785,789.890015,342.950012,425.950012,5452.830078,3.157,7817.169922,5108.04,1416.180054,13618.900391,412.920013,128.949997,27179.490234,435.980011,14667.0,7758.02,3.165,6859.830078,153.850006,815.340027,28152.560547,253.279999,6279.100098,242.149994,6874.22998,9462.240234,7316.680176,7183.129883,6807.939941,662.940002,1011.49,297.329987,2296.56,816.190002,769.820007,723.950012,375.089996,371.609985,141.190002,8110.600098,3353.060059,4283.37,3.839,4.336,581.549988,20.129999,23.790001,31.709999,182.639999,2382.070068,190.619995,888.26001,682.820007,1330.719971,570.960022,1519.97998
2008-01-08,497.230011,6205.700195,4373.859863,6128.100098,4097.169922,784.669983,349.899994,419.179993,5495.669922,3.157,7849.990234,5143.93,1390.189941,13541.799805,416.350006,122.190002,27112.900391,454.109985,14670.5,7735.65,3.16,6889.140137,154.139999,796.630005,28267.779297,251.229996,6287.850098,235.139999,6769.569824,9326.080078,7246.549805,7092.47998,6691.299805,651.02002,1024.42,294.309998,2296.56,800.530029,755.530029,704.859985,365.170013,361.709991,138.910004,8316.400391,3338.27002,4295.23,3.84,4.355,580.22998,19.370001,25.43,29.17,188.600006,2365.959961,181.679993,861.609985,671.119995,1318.209961,565.22998,1495.780029
2008-01-09,491.73999,6159.5,4282.359863,6087.700195,4065.320068,793.809998,355.660004,428.070007,5435.419922,3.089,7782.709961,5072.65,1409.130005,13579.900391,423.0,122.470001,27615.849609,458.459991,14603.5,7526.72,3.11,6683.330078,155.179993,800.409973,28401.609375,252.070007,6272.0,235.869995,6852.509766,9424.69043,7328.589844,7176.310059,6764.580078,661.080017,1003.69,298.98999,2296.56,810.280029,764.849976,712.119995,369.019989,362.940002,140.369995,8339.799805,3344.530029,4258.32,3.791,4.321,587.039978,20.42,24.120001,29.219999,189.699997,2383.800049,184.210007,882.330017,681.719971,1334.329956,579.210022,1505.959961
2008-01-10,484.100006,6147.299805,4162.180176,6078.700195,4051.530029,807.27002,354.670013,428.23999,5400.430176,3.158,7713.089844,4962.53,1420.329956,13642.700195,423.519989,125.639999,27230.859375,468.850006,14524.0,7541.55,3.13,6625.029785,152.960007,807.609985,29069.560547,258.23999,6156.950195,235.850006,6908.470215,9490.759766,7347.470215,7216.350098,6839.799805,665.640015,989.7,295.959991,2306.87,817.140015,771.130005,720.210022,372.109985,362.549988,141.289993,8290.799805,3311.070068,4237.62,3.887,4.444,584.030029,20.450001,23.450001,32.73,192.809998,2416.449951,190.929993,883.619995,686.099976,1340.650024,578.309998,1492.469971
2008-01-11,481.829987,6054.399902,4118.580078,5981.600098,4022.929932,807.830017,354.420013,426.220001,5371.410156,3.071,7717.950195,4858.35,1401.02002,13632.599609,423.679993,124.540001,26867.009766,475.160004,14458.0,7575.21,3.01,6660.839844,150.190002,796.219971,28723.820312,255.889999,6200.100098,228.75,6816.759766,9347.469727,7207.910156,7101.490234,6686.990234,656.030029,987.94,291.98999,2313.9,805.570007,760.700012,704.650024,364.540009,353.890015,140.149994,8159.700195,3287.340088,4225.31,3.81,4.394,578.950012,19.75,23.68,31.530001,193.550003,2362.199951,191.479996,867.5,676.570007,1312.160034,575.080017,1463.800049
2008-01-14,484.720001,6040.899902,4142.950195,5980.0,4013.340088,807.710022,351.920013,439.220001,5403.509766,3.064,7732.02002,4846.27,1416.25,13698.299805,421.649994,127.540001,26468.130859,480.98999,14431.900391,7611.64,3.085,6728.459961,150.190002,804.400024,28607.449219,254.600006,6206.799805,234.429993,6874.660156,9439.339844,7287.330078,7170.069824,6769.47998,663.47998,1008.0,299.230011,2339.79,814.140015,768.76001,712.47998,368.649994,364.649994,141.279999,8193.400391,3218.139893,4236.68,3.793,4.373,580.77002,19.59,22.9,32.220001,197.229996,2367.280029,195.809998,891.169983,684.030029,1325.060059,589.76001,1481.459961
